"sample","PGS000018"
"205018140100_R01C01","0.06293917624812106"
"205018140100_R01C02","0.03367950413303711"
"205018140100_R02C01","-0.13904765544072428"
"205018140100_R02C02","0.04411946523699961"
"205018140100_R03C01","-0.017329407656225995"
"205018140100_R03C02","0.09387833662177336"
"205018140100_R04C01","-0.017848080558974966"
"205018140100_R04C02","0.04540818316914891"
"205018140100_R05C01","-0.0051328413476525725"
"205018140100_R05C02","0.04077892022354135"
"205018140100_R06C01","-0.10111620391787912"
"205018140100_R06C02","0.05752341490090028"
"205018140100_R07C01","-0.09967728649756089"
"205018140100_R07C02","-0.0496391722740164"
"205018140100_R08C01","0.04905492132569572"
"205018140100_R08C02","-0.024315692427309077"
"205018140100_R09C01","0.1197856768116071"
"205018140100_R09C02","0.042522210646809666"
"205018140100_R10C01","0.054173738359799994"
"205018140100_R10C02","-0.09145201791955382"
"205018140100_R11C01","0.02577268480020567"
"205018140100_R11C02","0.1572452322609322"
"205018140100_R12C01","0.05192351560612317"
"205018140100_R12C02","0.07947505398772281"
